Well,SampleID,Mass/Charge,Height,Width
A04,18-275-148261,5557.3404,76.0963,8.42021272727273
A04,18-275-148261,5596.5275,103.4901,8.47958712121212
A04,18-275-148261,5637.1396,198.0905,8.54112060606061
A04,18-275-148261,5677.1035,148.2032,8.60167196969697
A04,18-275-148261,5717.5503,108.7856,8.662955
A04,18-275-148261,6626.3174,83.8459,10.0398748484848
A04,18-275-148261,6665.8085,109.2738,10.0997098484848
A04,18-275-148261,6984.4032,574.1165,10.5824290909091
A04,18-275-148261,7245.365,103.5579,10.9778257575758
A04,18-275-148261,7325.3738,120.7674,11.0990512121212
A05,18-342-401185,1192.7476,0,1.80719333333333
A05,18-342-401185,1249.641,120.0444,1.89339545454545
A05,18-342-401185,1659.0537,75.4794,2.51371772727273
A05,18-342-401185,1906.6285,134.8715,2.88883106060606
A05,18-342-401185,1915.2963,78.3997,2.90196409090909
A05,18-342-401185,2123.2093,124.3536,3.21698378787879
A05,18-342-401185,2180.3655,80.301,3.30358409090909
A05,18-342-401185,2260.3171,107.1752,3.42472287878788
A05,18-342-401185,2280.2883,255.6941,3.45498227272727
A05,18-342-401185,2429.531,126.3566,3.68110757575758
A05,18-342-401185,2469.562,6718.555,3.74176060606061
A05,18-342-401185,2490.5486,291.6675,3.77355848484848
A05,18-342-401185,2509.5867,7397.1371,3.80240409090909
A05,18-342-401185,2529.6193,149.335,3.83275651515152
A05,18-342-401185,2549.6113,324.6759,3.86304742424242
A05,18-342-401185,2565.6106,1345.682,3.88728878787879
A05,18-342-401185,2581.6099,473.6121,3.91153015151515
A05,18-342-401185,2606.0255,28.6795,3.94852348484849
A05,18-342-401185,2630.892,46.7199,3.9862
A05,18-342-401185,2700.4857,240.3444,4.091645
A05,18-342-401185,2742.1952,205.2336,4.15484121212121
A05,18-342-401185,2777.4727,121.8516,4.20829196969697
A05,18-342-401185,2798.8193,267.8584,4.2406353030303
A05,18-342-401185,2936.6434,119.6344,4.4494596969697
A05,18-342-401185,2976.7068,213.9533,4.51016181818182
A05,18-342-401185,2992.7739,222.1856,4.53450590909091
A05,18-342-401185,3008.2165,158.548,4.55790378787879
A05,18-342-401185,3032.6733,280.3515,4.59495954545455
A05,18-342-401185,3087.9569,6412.0669,4.67872257575758
A05,18-342-401185,3125.9312,188.1738,4.73625939393939
A05,18-342-401185,3168.0062,396.3311,4.80000939393939
A05,18-342-401185,3184.0055,41.6324,4.82425075757576
A05,18-342-401185,3200.0048,2152.1101,4.84849212121212
A05,18-342-401185,3276.5863,152.5215,4.9645246969697
A05,18-342-401185,3320.8312,131.8496,5.03156242424242
A05,18-342-401185,3491.7335,274.2061,5.2905053030303
A05,18-342-401185,3555.3417,108.0323,5.38688136363636
A05,18-342-401185,3611.137,153.7732,5.4714196969697
A05,18-342-401185,3723.3486,158.5951,5.64143727272727
A05,18-342-401185,3833.3199,249.1623,5.80806045454545
